Vitglobal.com - eRuido DBAMonitor DataLogging File
System started at 	2022-09-29T14:27:26
Datalogging started at 	2022-09-30T14:39:11
LAEq1s,LCEq1s,LASlow,LASMax,Temperature,Humidity,Windspeed,Winddir,DateTime
22.4902,39.2333,22.594,22.6712,,,-1,-1,2022-09-30T14:43:25
22.5253,39.5121,22.55,22.623,,,-1,-1,2022-09-30T14:43:26
22.4663,39.459,22.4972,22.576,,,-1,-1,2022-09-30T14:43:27
22.4817,39.4317,22.4804,22.5432,,,-1,-1,2022-09-30T14:43:28
22.7205,39.4011,22.6048,22.6623,,,-1,-1,2022-09-30T14:43:29
22.627,40.9399,22.6576,22.6576,,,-1,-1,2022-09-30T14:43:30
22.974,40.7985,22.8744,22.8819,,,-1,-1,2022-09-30T14:43:31
23.4494,42.1333,23.26,23.26,,,-1,-1,2022-09-30T14:43:32
23.7681,45.4798,23.6283,23.6283,,,-1,-1,2022-09-30T14:43:33
24.1307,47.4502,23.9366,24.0413,,,-1,-1,2022-09-30T14:43:34
23.311,41.1412,23.5472,23.9294,,,-1,-1,2022-09-30T14:43:35
23.1483,41.4133,23.2556,23.6321,,,-1,-1,2022-09-30T14:43:36
23.078,44.1347,23.1494,23.2539,,,-1,-1,2022-09-30T14:43:37
23.5121,43.4045,23.4071,23.4071,,,-1,-1,2022-09-30T14:43:38
23.8873,45.4158,23.7383,23.7383,,,-1,-1,2022-09-30T14:43:39
24.5024,49.0688,24.3167,24.3167,,,-1,-1,2022-09-30T14:43:40
24.7138,48.6258,24.5608,24.5712,,,-1,-1,2022-09-30T14:43:41
24.52,46.6379,24.4995,24.6581,,,-1,-1,2022-09-30T14:43:42
24.2005,47.88,24.34,24.5036,,,-1,-1,2022-09-30T14:43:43
23.8742,45.8297,24.0533,24.3354,,,-1,-1,2022-09-30T14:43:44
23.8949,45.1257,23.9979,24.0735,,,-1,-1,2022-09-30T14:43:45
24.4466,45.5749,24.2577,24.3707,,,-1,-1,2022-09-30T14:43:46
24.8788,47.4698,24.6844,24.6848,,,-1,-1,2022-09-30T14:43:47
25.6245,49.8726,25.3511,25.3511,,,-1,-1,2022-09-30T14:43:48
26.0248,49.77,25.8,25.8153,,,-1,-1,2022-09-30T14:43:49
26.4207,50.3907,26.2054,26.2167,,,-1,-1,2022-09-30T14:43:50
26.1125,50.4717,26.1131,26.2864,,,-1,-1,2022-09-30T14:43:51
25.0097,47.1296,25.434,26.093,,,-1,-1,2022-09-30T14:43:52
24.1964,46.379,24.6646,25.4778,,,-1,-1,2022-09-30T14:43:53
24.3147,51.0466,24.4551,24.719,,,-1,-1,2022-09-30T14:43:54
23.9399,51.1421,24.1902,24.42,,,-1,-1,2022-09-30T14:43:55
25.7381,52.2456,25.3774,25.3774,,,-1,-1,2022-09-30T14:43:56
28.2115,57.1176,27.3191,27.3191,,,-1,-1,2022-09-30T14:43:57
25.7384,54.8394,26.2638,27.4446,,,-1,-1,2022-09-30T14:43:58
25.7325,53.0167,26.0002,26.2548,,,-1,-1,2022-09-30T14:43:59
25.0578,51.2961,25.4394,25.9919,,,-1,-1,2022-09-30T14:44:00
24.4737,48.5605,24.7985,25.4488,,,-1,-1,2022-09-30T14:44:01
23.9513,47.4663,24.3031,24.7979,,,-1,-1,2022-09-30T14:44:02
23.5174,45.4335,23.7739,24.3105,,,-1,-1,2022-09-30T14:44:03
23.2885,45.3881,23.4484,23.7684,,,-1,-1,2022-09-30T14:44:04
23.8219,45.1135,23.7405,23.7608,,,-1,-1,2022-09-30T14:44:05
23.0851,43.8204,23.3329,23.7349,,,-1,-1,2022-09-30T14:44:06
23.3719,44.9071,23.3877,23.3935,,,-1,-1,2022-09-30T14:44:07
23.6308,46.7641,23.5461,23.5824,,,-1,-1,2022-09-30T14:44:08
24.1112,49.2372,23.9607,23.9607,,,-1,-1,2022-09-30T14:44:09
23.8377,47.9718,23.8716,23.988,,,-1,-1,2022-09-30T14:44:10
23.0952,44.298,23.3789,23.8763,,,-1,-1,2022-09-30T14:44:11
23.156,45.8748,23.291,23.367,,,-1,-1,2022-09-30T14:44:12
22.8773,43.8486,23.0714,23.2746,,,-1,-1,2022-09-30T14:44:13
22.8519,41.3466,22.9214,23.126,,,-1,-1,2022-09-30T14:44:14
22.8194,44.5088,22.8845,22.908,,,-1,-1,2022-09-30T14:44:15
22.6581,41.1299,22.7539,22.8838,,,-1,-1,2022-09-30T14:44:16
22.4336,40.0765,22.5678,22.7565,,,-1,-1,2022-09-30T14:44:17
22.5683,43.0676,22.5501,22.6303,,,-1,-1,2022-09-30T14:44:18
22.4913,42.1608,22.5062,22.5822,,,-1,-1,2022-09-30T14:44:19
22.5616,41.4286,22.5325,22.5571,,,-1,-1,2022-09-30T14:44:20
22.6857,41.0609,22.5998,22.6814,,,-1,-1,2022-09-30T14:44:21
23.0489,42.5306,22.8941,22.8942,,,-1,-1,2022-09-30T14:44:22
23.0161,44.65,22.9742,22.9853,,,-1,-1,2022-09-30T14:44:23
23.4655,44.7654,23.2931,23.2931,,,-1,-1,2022-09-30T14:44:24
24.3416,47.8942,23.9949,24.0061,,,-1,-1,2022-09-30T14:44:25
25.0567,48.3327,24.7883,24.7883,,,-1,-1,2022-09-30T14:44:26
25.6663,50.4903,25.3968,25.3968,,,-1,-1,2022-09-30T14:44:27
